ÒÑÖª±êÇ©,Alpha,Beta,Theta,Delta
6,23.35,16.66,10.41,20.62
6,18.88,16.54,9.6,20.22
6,26.01,17.45,9.21,18.6
6,22.56,15.28,9.16,18.03
6,21.5,15.16,10.28,20.63
6,24.03,15.54,9.11,18.84
6,21.39,13.52,9.43,18.72
6,23.54,14.81,10.47,18.28
6,25.39,16.44,9.51,18.91
6,25.92,16.25,8.81,18.7
6,14.35,22.65,13.33,13.81
6,19.7,21.58,15.31,14.13
6,15.52,21.35,15.4,14.79
6,15.48,21.62,12.67,14.97
6,12.7,20.1,12.44,13.99
6,14.88,20,12.85,13.68
6,13.35,20.66,14.39,16.22
6,15.65,21.62,14.01,14.5
6,14.97,20.35,13.71,14.65
6,16.05,22.13,14.35,15.48
6,17.29,19.93,14.63,17.85
6,17.74,20.61,13.35,16.11
6,15.94,19.87,14.53,17.73
6,16.57,18.59,14.51,15.06
6,17.1,21.17,12.09,16.87
6,18.47,21.23,12.6,15.44
6,14.59,21.61,14.44,17.72
6,14.59,21.67,17.19,17.39
6,18.24,23.56,13.83,14.96
6,18.31,21.12,14.51,16.02
6,14.26,20.25,14.11,18.68
6,14.65,20.46,15.5,18.28
6,17.15,21.06,14.69,15.87
6,13.11,20.02,12,13.48
6,15.55,21.04,15.08,13.57
6,15.49,21.12,15.76,15.97
6,13.74,21.29,15.1,17.08
6,13.73,21.57,13.53,14.34
6,15.37,21.38,13.04,12.58
6,16.34,20.31,12.73,14.35
6,12.69,21.24,13.67,14.79
6,16.21,22.82,14.99,13.92
6,17.02,20.9,14.28,14.6
6,15.08,21.73,13.5,15.24
6,14.39,21.06,13.26,13.07
6,15.63,21.5,12.56,12.56
6,16.32,21.1,12,12.76
6,14.4,20.73,13.18,13.46
6,15.6,20.61,12.49,12.02
6,15.36,21.49,12.57,12.21
6,11.63,20.29,10.12,11.63
6,11.94,20.45,12.1,13.83
6,15.26,22.95,13.57,14
6,16.14,20.45,14.54,13.26
6,14.85,19.99,12.54,13.77
6,12.98,19.72,12.95,17.53
6,13.82,20.11,14.3,14.02
6,18.65,20.14,15.93,14.67
6,16.78,20.86,15.36,14.33
6,18.14,21.22,14.71,14.03
6,16.74,23.34,12.52,13.62
6,15.59,20.83,14.85,13.88
6,14.08,20.88,16.84,12.98
6,17.91,20.66,14.92,12.1
6,14.37,20.45,14.64,14.12
6,12.82,19.89,13.55,14.52
6,17.76,22.09,14.99,16.12
6,17.16,22.02,15.78,13.66
6,17.18,22.43,13.62,15.3
6,13.59,19.62,15.09,18.88
6,9.32,18.14,12.23,17.4
6,14.21,19.78,13.03,14.04
6,16.07,20.36,14.14,14.03
6,13.98,21.45,11.78,12.68
6,15.33,22.15,14.53,13.33
6,15.51,20.81,13.05,13.62
6,13.72,21.52,12.66,13.78
6,13.58,20.35,12.45,12.9
6,15.11,21.84,14.25,15.04
6,16.46,23.4,14.19,17.08
6,15.84,24.31,13.53,16.17
6,17.87,20.44,14.63,15.62
6,13.31,21.63,10.09,12.87
6,16.13,21.05,12.46,14.33
6,14.74,24.07,10.06,15.01
6,16.68,20.62,14.81,16.07
6,15.57,19.5,12.09,18.97
6,8.43,18.51,6.72,12.79
6,8.89,19.71,8.65,12.58
6,9.14,20.1,6.94,9.84
6,9.94,19.46,9,11.62
6,9.64,20.52,7.39,9.82
6,10.53,20.83,8.7,9.74
6,10,20.36,9.69,10.47
6,11.21,20.29,7.35,8.57
6,10.65,21.73,7.22,8.77
6,11.3,20.82,9.58,11.35
6,9.42,19.83,7.17,9.16
6,12.9,20.02,13.76,14.27
6,14.14,20.63,12.69,16.4
6,17.33,20.21,13.52,16.21
6,14.88,20.72,13.14,16.83
6,17.76,22.02,16.03,14.95
6,12.78,19.1,14.74,18.55
6,14.82,20.88,14.32,15.25
6,18.09,20.68,12.43,16.28
6,15.92,22.8,14.73,16.54
6,15.51,26.12,14.2,15.51
6,18.09,24.92,14.68,14.74
6,17.07,24.55,14.97,15.89
6,13.87,21.38,9.49,10.42
6,13.02,20.01,9.08,9.74
6,9.94,20.54,6.95,10.56
6,12.82,21.02,8.86,10.18
6,14.56,20.34,9.49,9.29
6,8.91,20.27,8.01,9.14
6,10.19,20.41,7.28,8.87
6,9.34,20.7,7.37,9.26
6,10.03,20.2,7.29,8.94
6,9.55,21.43,6.61,9
6,9.6,19.72,7.3,10.78
6,8.54,20.73,6.31,9.45
6,10.7,22.22,7.5,10.01
6,10.26,19.47,8.19,11.59
6,9.27,21.27,7.53,8.38
6,9.68,21.88,6.61,8.02
6,9.26,21.31,7.21,8.35
6,12.08,21.34,8.26,9.56
6,8.96,21.54,6.33,8.19
6,9.44,19.65,7.81,9.67
6,10.25,19.86,8.82,11.53
6,13.32,20.84,10.27,12.21
6,14.21,21.05,9.13,11.17
6,12.62,18.85,8.47,13.92
6,13.49,18.14,14.41,17.27
6,14.51,20.43,13.09,17.3
6,14.51,20.39,14.04,15.07
6,13.5,21.82,11.59,10.89
6,12.03,17.63,9.66,14.67
6,10.29,17.24,8.9,14.96
6,10.81,17.89,9.14,16.77
6,12.01,18.12,11.43,19.33
6,11.04,18.25,8.28,14.52
6,10.5,19.92,7.8,12.12
6,11.54,19.1,11.6,16.22
6,11.38,19.44,13.43,15.24
6,14.56,19.22,13.29,12.86
6,11.53,20.03,13.62,14.04
6,10.61,21.36,10.89,15.11
6,10.6,19.9,11.1,15.17
6,12.91,20.43,12.53,12.17
6,11.14,20.15,10,11.66
6,11.3,19.31,10.08,14.01
6,10.66,19.24,11.14,14.8
6,10.15,21.77,9.12,9.99
6,13.01,19.47,12.39,13.04
6,12.33,19.26,12,15.03
6,11.4,20.42,12.23,13.51
6,10.09,18.86,11.42,15.25
6,11.83,20.18,12.28,14.92
6,11.89,19.39,10.96,13.43
6,13.87,22.08,11.71,12.38
6,12.28,19.71,11.63,14.74
6,11.13,18.48,11.65,16.24
6,11.53,20.74,11.24,14.88
6,13.11,19.72,12.36,14
6,11.9,20.46,10.12,13.47
6,14.41,20.77,10.83,12.26
6,11.15,20.25,9.21,10.49
6,9.89,19.16,8.24,12.61
6,11.84,18.22,8.79,14.48
6,9.94,15.96,9.31,16.28
6,11.04,18.9,8.71,14.93
6,11.99,18.58,11.54,20.22
6,16.51,18.53,12.89,15.25
6,11.77,18.71,10.99,14.67
6,10.11,19.1,9.56,14.2
6,9.69,18.39,9.16,14.95
6,12.1,18.58,9.77,16.11
6,11.81,20.12,10.7,14.96
6,10.72,20.74,11.67,16.7
6,10.85,19.84,10.78,15.74
6,12.16,20.71,9.19,13.3
6,10.28,19.88,9.15,13.42
6,11.77,19.5,10.4,13.69
6,9.92,20.55,10.82,15.48
6,9.66,19.33,10.39,16.17
6,11.86,19.59,9.94,14.08
6,11.41,21.03,8.66,12.86
6,10.9,19.29,9.1,13.13
6,13,18.35,10.07,11.66
6,9.52,18.98,10.88,13.91
6,9.96,19.63,9.61,16.9
6,14.97,20.52,9.32,12.38
6,15.91,20.13,10.27,13.84
6,13.65,20.02,10.57,13.89
6,10.04,19.81,9.01,13.56
6,11.7,20.24,9.65,14.46
6,9.65,20.19,7.32,8.88
6,8.74,20.88,7,10.29
6,14.17,21.69,11.14,11.56
6,10.68,20.2,8.45,10
6,10.23,20.36,7.48,9.58
6,9.16,19.98,8.27,9.26
6,9.99,21.82,8.14,9.56
6,8.67,20.68,6.9,10.08
6,10.04,19.58,7.63,10.97
6,16.04,20.87,12.31,12.93
6,18.41,21.15,12.23,12.61
6,16.14,20.85,14.55,14.47
6,8.86,20.5,8.88,10.34
6,9.96,20.27,7.41,10.11
6,9.34,20.84,8.16,9.66
6,14.57,21.33,10.7,9.21
6,15.23,20.55,14.96,14.68
6,10.25,20.25,9.67,13.73
6,12.32,19.32,9.48,11.61
6,12.11,20.55,9.88,11.59
6,10.65,19.64,10.64,14.05
6,9.17,20.19,9.07,13.6
6,9.82,20.02,9.16,13.08
6,10.3,20.26,10.34,15.52
6,11.91,19.4,10.85,13.25
6,10.08,18.52,10.87,15.04
6,14.06,17.16,12.27,14.22
6,8.89,18.95,9.91,13.73
6,10.44,19.76,9.94,14.62
6,9.28,19.87,8.8,14.4
6,8.97,21.06,6.81,8.08
6,10.01,20.37,6.91,7.46
6,10.65,22.82,7.43,7.44
6,10.51,22.33,6.71,6.66
6,8.88,17.79,8.01,14.49
6,8.79,18.02,8.16,12.31
6,8.55,17.99,7.23,12.54
6,9.57,20.2,6.52,10.65
6,9.82,20.08,9.78,12.22
6,10.16,20.33,8.15,10.29
6,8.05,18.38,6.32,12.93
6,9.69,20.48,8.52,14.47
6,9.79,20.63,8.2,12.88
6,9.74,19.96,9.96,14.79
6,10.07,20.03,8.4,13.45
6,9,20.18,8.37,12.26
6,9.64,19.63,9.45,14.96
6,10.14,18.66,8.52,14.65
6,10.41,19.26,8.39,16.6
6,9.85,20.88,7.04,10.57
6,9.18,18.37,5.61,11.67
6,9.95,21.7,6.54,8.33
6,9.31,21.68,7.16,7.72
6,9.3,21.47,6.31,10.71
6,10.58,22.46,6.7,8.61
6,10.34,21.9,7.57,7.17
6,9.84,22.6,7.23,8.2
6,10.11,21.04,6.67,8.62
6,9.9,21.14,7.55,8.81
6,11.43,21.44,7.15,9.76
6,11.9,22.16,7.7,8.52
6,9.44,20.81,6.44,7.52
6,10.75,20.96,7.81,6.87
6,10.7,21.25,9.81,13.04
6,11.77,22.31,6.55,7.3
6,10.97,20.04,7.19,7.87
6,9.98,20.84,6.24,7.58
6,10.52,22.72,7.37,9.88
6,11.19,21.39,7.27,6.96
6,10.69,20.97,7.71,7.53
6,10.93,19.89,8.57,8.25
6,10.94,21.57,7.12,8.05
6,11.06,21.35,7.68,7.68
6,11.35,21.3,7.76,7.44
6,10.77,20.66,7.87,7.53
6,10.6,20.6,7.51,6.72
6,10.06,20.91,7.63,7.41
6,10.91,21.47,7,8.52
6,10.74,22.24,9.37,11.86
6,12.1,19.11,8.29,15.14
6,9.93,20.99,6.79,14.12
6,10.94,22.24,6.98,6.75
6,10.73,21.81,6.87,9.85
6,10.53,20.51,7.7,8.31
6,11.47,21.63,7.03,8.14
6,10.34,23.64,6.07,6.57
6,10.48,21.49,7.61,7.58
6,11.51,20.95,7.06,8.16
6,10.9,21.61,7.9,7.93
6,8.99,21.54,8.15,10.19
6,9.9,21.1,7.22,7.09
6,9.55,20.54,7.12,8.96
6,9.48,21.09,6.93,9.23
6,9.67,22.95,5.93,7.38
6,10.45,23.14,6.19,8.69
6,10.06,18.96,6.64,14.2
6,9.52,20.15,6.6,12.72
6,10.91,21.22,7.51,12.06
6,10.99,19.68,7.83,12.03
6,9.93,22.18,6.5,9.57
6,8.92,22.26,6.59,11.54
6,9.19,14.85,7.34,26.8
6,18.04,19.91,6.71,14.78
6,18.66,19.63,7.23,13.38
6,27.78,26.52,10.35,12.08
6,30.95,25.07,10.13,11.12
6,16.98,17.46,6.53,19.17
